+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                      | Name                | Action                                                                 | Middleware   |
+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | /                        |                     | Closure                                                                | web          |
|        | GET|HEAD  | api/user                 |                     | Closure                                                                | api,auth:api |
|        | GET|HEAD  | auth/{provider}          |                     | App\Http\Controllers\Auth\AuthController@redirectToProvider            | web          |
|        | GET|HEAD  | auth/{provider}/callback |                     | App\Http\Controllers\Auth\AuthController@handleProviderCallback        | web          |
|        | POST      | cities-by-province-id    | cities.byProvinceId | App\Http\Controllers\Backend\CityController@getByProvinceId            | web,auth     |
|        | GET|HEAD  | city                     | city.index          | App\Http\Controllers\Backend\CityController@index                      | web,auth     |
|        | POST      | city                     | city.store          | App\Http\Controllers\Backend\CityController@store                      | web,auth     |
|        | GET|HEAD  | city/create              | city.create         | App\Http\Controllers\Backend\CityController@create                     | web,auth     |
|        | POST      | city/create              | city.store          | App\Http\Controllers\Backend\CityController@store                      | web,auth     |
|        | GET|HEAD  | city/datatables          | city.datatables     | App\Http\Controllers\Backend\CityController@dataTables                 | web,auth     |
|        | GET|HEAD  | city/delete/{id}         | city.delete         | App\Http\Controllers\Backend\CityController@destroy                    | web,auth     |
|        | GET|HEAD  | city/edit/{id}           | city.edit           | App\Http\Controllers\Backend\CityController@edit                       | web,auth     |
|        | GET|HEAD  | city/show/{id}           | city.show           | App\Http\Controllers\Backend\CityController@show                       | web,auth     |
|        | PUT       | city/update/{id}         | city.update         | App\Http\Controllers\Backend\CityController@update                     | web,auth     |
|        | DELETE    | city/{city}              | city.destroy        | App\Http\Controllers\Backend\CityController@destroy                    | web,auth     |
|        | GET|HEAD  | city/{city}              | city.show           | App\Http\Controllers\Backend\CityController@show                       | web,auth     |
|        | PUT|PATCH | city/{city}              | city.update         | App\Http\Controllers\Backend\CityController@update                     | web,auth     |
|        | GET|HEAD  | city/{city}/edit         | city.edit           | App\Http\Controllers\Backend\CityController@edit                       | web,auth     |
|        | GET|HEAD  | district                 | district.index      | App\Http\Controllers\Backend\DistrictController@index                  | web,auth     |
|        | POST      | district                 | district.store      | App\Http\Controllers\Backend\DistrictController@store                  | web,auth     |
|        | GET|HEAD  | district/create          | district.create     | App\Http\Controllers\Backend\DistrictController@create                 | web,auth     |
|        | POST      | district/create          | district.store      | App\Http\Controllers\Backend\DistrictController@store                  | web,auth     |
